,Year,FG% Factor,XP% Factor,30% Factor,40% Factor,50% Factor
0,1978,1.0,1.0,1.0,1.0,1.0
1,1979,0.9997332812906582,0.9804131355505317,1.0954630788485606,0.9086538461538461,1.8888888888888886
2,1980,1.0077918680552094,1.0196019817212916,1.1042917166866746,0.9782051282051282,1.6291666666666664
3,1981,1.044292198237194,1.0223478772216867,1.1499236058059588,1.0569411057692308,1.7761194029850746
4,1982,1.0813252393278276,1.0177548043287337,1.1619962945808244,1.233221476510067,1.4166666666666665
5,1983,1.1330733224590468,1.0278471987834152,1.2401136925358378,1.17436433859028,2.1549295774647885
6,1984,1.1371022837452824,1.0442840128046345,1.233343989769821,1.216404077849861,2.3558052434456926
7,1985,1.144002585752278,1.0357855540548246,1.3045835122370117,1.195939253879168,2.125
8,1986,1.0874642605709688,1.0409184173170263,1.291686674669868,1.0800536672629695,2.010752688172043
9,1987,1.1142851168570471,1.0394082681489305,1.196720825426945,1.0872781065088757,2.222222222222222
10,1988,1.1373230320219363,1.0322448253117378,1.2664395026303203,1.159806102987921,2.2666666666666666
11,1989,1.1494252548851216,1.0498171646227625,1.2948471055088702,1.1094674556213018,1.9508196721311475
12,1990,1.1796131844505937,1.0460693893599562,1.285529411764706,1.2545008183306054,2.034188034188034
13,1991,1.1648043612743582,1.0492794806028318,1.2829759766502022,1.1862980769230769,2.531914893617021
14,1992,1.150652435385114,1.0563411360167698,1.2443617763310857,1.170439074200136,2.833333333333333
15,1993,1.2139113800278685,1.0445869772705747,1.3653824647729815,1.237006237006237,2.880555555555555
16,1994,1.2511803451950203,1.0612958317766985,1.3696366782006921,1.3402754450789385,2.0606060606060606
17,1995,1.2265034686933851,1.0549382239623857,1.350952645209027,1.3074712643678161,2.864468864468864
18,1996,1.2683840749414519,1.059220070348674,1.3891952614379086,1.2959242250287026,2.9310344827586206
19,1997,1.2389844440653255,1.0594612330752564,1.3761817226890758,1.2592250922509225,2.9786324786324787
20,1998,1.2626770599810855,1.0559624358303104,1.3943955534969894,1.4052754677754677,3.061302681992337
21,1999,1.2318719814978571,1.0622695768344823,1.3106299613270915,1.3639836984207845,2.735632183908046
22,2000,1.2638887115351707,1.0642910222708943,1.3442111827062981,1.4141414141414141,3.1666666666666665
23,2001,1.2101891851631161,1.0545213587620035,1.391632298675928,1.2067592171142467,2.9497716894977164
24,2002,1.2287053933121057,1.0587203350832541,1.3692389326864767,1.2976040353089533,2.9333333333333336
25,2003,1.2564181874420044,1.0572535965361516,1.3555691229560416,1.4005439005439004,2.7419354838709675
26,2004,1.2811408113273575,1.0653620993313986,1.3346443228454172,1.4535318766836276,3.3003663003663
27,2005,1.2837961875376898,1.0599314866685785,1.3984113712374582,1.443298969072165,2.9565217391304346
28,2006,1.290937613428999,1.0639855791939385,1.4046226017288637,1.4835164835164836,2.6666666666666665
29,2007,1.3129757025761124,1.0634443165783274,1.4869017499472907,1.5,2.663333333333333
30,2008,1.3397306791569086,1.0689166257312555,1.4614769820971867,1.504393785022924,3.596153846153846
31,2009,1.2888418826017978,1.0562649456647184,1.3721149918300655,1.4728506787330315,2.996794871794872
32,2010,1.30588298172136,1.064663174705028,1.4523109243697478,1.476963848871976,3.1192660550458715
33,2011,1.3141763783394371,1.0681672736897638,1.424454917101976,1.4942307692307693,3.642857142857143
34,2012,1.32955614154788,1.0691785008726158,1.4611240535818288,1.619135508454394,3.4525386313465782
35,2013,1.3710113435301516,1.0701583195024689,1.4735194753577108,1.6760935143288085,3.804195804195804
36,2014,1.3316747696637077,1.067410293358951,1.4708325190541334,1.5696939921392477,3.4588744588744587
37,2015,1.3397065837147553,1.011717661358328,1.5432525951557095,1.529126213592233,3.683333333333333
38,2016,1.3356373435334912,1.0060683189438122,1.5048616486068112,1.6031055093555093,3.211111111111111
39,2017,1.336928686586292,1.0099722521312602,1.4054621848739495,1.602764423076923,3.9372294372294365
40,2018,1.342719150083216,1.0126312245856182,1.5432525951557095,1.5400912646675358,3.616228070175439
41,2019,1.2935453053192325,1.0086912490731865,1.4973917869034408,1.4414201183431952,3.282758620689655
42,2020,1.341051912568306,0.9989173559936284,1.523458077260755,1.6273405870445343,3.575396825396825
43,2021,1.3492790670628396,1.0034554851692665,1.5256865991429684,1.5675607287449391,3.736263736263736
